internal_id,sku_original,codigo_publico_proposto,nome_original,familia_proposta,family_id,categoria_herdada,aplicacao_principal_herdada,segmento_herdado,excecao_de_segmento,excecao_de_categoria,excecao_de_aplicacao,medida,capacidade,variacao,imagem,status_imagem,status_codigo,status_dado,publicavel,motivo_do_bloqueio,fonte,nivel_confianca,aprovacao_necessaria
PROD-0083,CN009,CN009,,Conexões retas e passa-muros,FAM-017,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,1/2 M TUBO 10 MM,,1/2 M TUBO 10 MM,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0084,CN010,CN010,,Conexões retas e passa-muros,FAM-017,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,1/8 TB 6MM C/ ABA,,1/8 TB 6MM C/ ABA,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0085,CN011,CN011,,Conexões retas e passa-muros,FAM-017,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,1/8 X TB 6MM FEMEA,,1/8 X TB 6MM FEMEA,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0087,CN013,CN013,,Conexões retas e passa-muros,FAM-017,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,M5 TB 6 MM LISA,,M5 TB 6 MM LISA,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0090,CN016,CN016,,Conexões retas e passa-muros,FAM-017,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,1/4 TUBO 10MM,,1/4 TUBO 10MM,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0091,CN017,CN017,,Conexões retas e passa-muros,FAM-017,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,TUBO 6 MM,,TUBO 6 MM,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0092,CN018,CN018,,Conexões retas e passa-muros,FAM-017,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,TUBO 6 MM,,TUBO 6 MM,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0094,CN020,CN020,,Conexões retas e passa-muros,FAM-017,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,1/4 TB 12MM,,1/4 TB 12MM,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0095,CN021,CN021,,Conexões retas e passa-muros,FAM-017,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,1/4TB,,1/4TB,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0089,CN015,CN015,,Conexões em T,FAM-018,Pulverização e sistemas de fluido,circulação de fluidos,Avicultura,,,,T 1/2,,T 1/2,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0086,CN012,CN012,,Conexões não identificadas,FAM-019,Pulverização e sistemas de fluido,,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0088,CN014,CN014,,Conexões não identificadas,FAM-019,Pulverização e sistemas de fluido,,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0096,CN026,CN026,,Conexões não identificadas,FAM-019,Pulverização e sistemas de fluido,,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0064,BT001,BT001,,Sistemas de pulverização (carrinho e galpão),FAM-020,Pulverização e sistemas de fluido,pulverização,Avicultura,,,,SPRAY CARRINHO,,SPRAY CARRINHO,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0065,BT002,BT002,,Sistemas de pulverização (carrinho e galpão),FAM-020,Pulverização e sistemas de fluido,pulverização,Avicultura,,,,SPRAY GALPÃO,,SPRAY GALPÃO,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0061,BO001,BO001,,Bombas,FAM-021,Pulverização e sistemas de fluido,,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0062,BO002,BO002,,Bombas,FAM-021,Pulverização e sistemas de fluido,,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0063,BO003,BO003,,Bombas,FAM-021,Pulverização e sistemas de fluido,,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0037,BA003,BA003,BALANÇA DIGITAL SUSPENSA COM LUZ RETROVISORA,Balanças suspensas e dinamômetros para aves,FAM-022,"Pesagem, medição e controle",pesagem,Avicultura,,,,40 KG,,40 KG,"IMG-0062,IMG-0131",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0038,BA004,BA004,BALANÇA DIGITAL SUSPENSA COM LUZ RETROVISORA,Balanças suspensas e dinamômetros para aves,FAM-022,"Pesagem, medição e controle",pesagem,Avicultura,,,,50 KG,,50 KG,IMG-0063,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0042,BA008,BA008,BALANÇA S DINAMÔMETRO AVES,Balanças suspensas e dinamômetros para aves,FAM-022,"Pesagem, medição e controle",pesagem,Avicultura,,,,5 KG / 20 GR,,5 KG / 20 GR,IMG-0134,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0039,BA005,BA005,BALANCA ELETRONICA PARA AVES,Balanças eletrônicas para aves,FAM-023,"Pesagem, medição e controle",pesagem,Avicultura,,,,10 KG / 10 GR,,10 KG / 10 GR,"IMG-0011,IMG-0132",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0040,BA006,BA006,BALANCA ELETRONICA PARA AVES,Balanças eletrônicas para aves,FAM-023,"Pesagem, medição e controle",pesagem,Avicultura,,,,5 KG / 5 GR,,5 KG / 5 GR,"IMG-0012,IMG-0064",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0043,BA009,BA009,BALANCA ELETRONICA PARA AVES,Balanças eletrônicas para aves,FAM-023,"Pesagem, medição e controle",pesagem,Avicultura,,,,15 KG / 20 GR,,15 KG / 20 GR,IMG-0065,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0044,BA010,BA010,BALANCA ELETRONICA PARA AVES,Balanças eletrônicas para aves,FAM-023,"Pesagem, medição e controle",pesagem,Avicultura,,,,50 KG / 50 GR,,50 KG / 50 GR,"IMG-0013,IMG-0066",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0047,BA013,BA013,BALANCA ELETRONICA PARA AVES,Balanças eletrônicas para aves,FAM-023,"Pesagem, medição e controle",pesagem,Avicultura,,,,50 KG / 20 GR,,50 KG / 20 GR,IMG-0015,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0041,BA007,BA007,BALANÇA ELETRÔNICA PARA OVOS,Balanças para ovos,FAM-024,"Pesagem, medição e controle",pesagem,Avicultura,,,,"120GR/0,1GR",,"120GR/0,1GR",IMG-0133,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0045,BA011,BA011,MINI BALANÇA ELETRONICA PARA OVOS,Balanças para ovos,FAM-024,"Pesagem, medição e controle",pesagem,Avicultura,,,,"500GR/0,1GR",,"500GR/0,1GR","IMG-0014,IMG-0135",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV,MEDIA,SIM
PROD-0048,BA014,BA014,BALANÇA ELETRÔNICA PARA OVOS ALTA PRECISÃO,Balanças para ovos,FAM-024,"Pesagem, medição e controle",pesagem,Avicultura,,,,500G,,500G,"IMG-0016,IMG-0067,IMG-0137",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0046,BA012,BA012,MINI BALANÇA DIGITAL DE BOLSO E ALTA PRECISÃO,Balanças de precisão de bolso,FAM-025,"Pesagem, medição e controle",pesagem,Avicultura,,,,100 G,,100 G,IMG-0136,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0158,TE001,TE001,TERMÔMETRO DIGITAL PARA VACINA,Termômetros,FAM-026,"Pesagem, medição e controle",controle de temperatura,Avicultura,,,,,,,"IMG-0037,IMG-0100,IMG-0172",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0159,TE002,TE002,TERMÔMETRO DIGITAL AMBIENTE,Termômetros,FAM-026,"Pesagem, medição e controle",controle de temperatura,Avicultura,,,,,,,IMG-0173,EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0160,TE003,TE003,TERMÔMETRO PARA AVES,Termômetros,FAM-026,"Pesagem, medição e controle",controle de temperatura,Avicultura,,,,,,,"IMG-0038,IMG-0174",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV,MEDIA,SIM
PROD-0161,TE004,TE004,TERMÔMETRO TIPO ESPETO PARA AVES,Termômetros,FAM-026,"Pesagem, medição e controle",controle de temperatura,Avicultura,,,,,,,"IMG-0039,IMG-0175",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV,MEDIA,SIM
PROD-0164,VR003,VR003,ESTOJO DE TESTES PH E CL,Medidores e testes de qualidade da água,FAM-027,"Pesagem, medição e controle",qualidade da água,Avicultura,,,,,,,"IMG-0042,IMG-0103,IMG-0178",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0165,VR004,VR004,FITA TESTE CLORO - 100 UN,Medidores e testes de qualidade da água,FAM-027,"Pesagem, medição e controle",qualidade da água,Avicultura,,,,,,,"IMG-0043,IMG-0104,IMG-0179",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0172,VR011,VR011,PHMETRO COM MEDIDOR DE TEMPERATURA,Medidores e testes de qualidade da água,FAM-027,"Pesagem, medição e controle",qualidade da água,Avicultura,,,,,,,"IMG-0048,IMG-0186",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV,MEDIA,SIM
PROD-0162,VR001,VR001,FITA TESTE DE AMÔNIA C/ 50 FITAS,Testes de qualidade do ambiente,FAM-028,"Pesagem, medição e controle",qualidade do ambiente,Avicultura,,,,,,,"IMG-0040,IMG-0101,IMG-0176",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0173,VR012,VR012,LANTERNA PARA OVOSCOPIA,Equipamentos para ovoscopia,FAM-029,"Pesagem, medição e controle",ovoscopia,Avicultura,,,,,,,"IMG-0049,IMG-0187",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV,MEDIA,SIM
PROD-0174,VR013,VR013,CÂMERA TERMOGRAFICA PARA AVES,Câmeras termográficas,FAM-030,"Pesagem, medição e controle",monitoramento,Avicultura,,,,,,,"IMG-0050,IMG-0188",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV,MEDIA,SIM
PROD-0101,LM001,LM001,LAMINA RETA BC,Lâminas para debicagem,FAM-031,"Peças, reposição e automação",debicagem,Avicultura,,,,,,,IMG-0152,EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0102,LM002,LM002,LAMINA DE REPASSE KH,Lâminas para debicagem,FAM-031,"Peças, reposição e automação",debicagem,Avicultura,,,,,,,"IMG-0021,IMG-0153",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0103,LM003,LM003,LAMINA EM CORTE V,Lâminas para debicagem,FAM-031,"Peças, reposição e automação",debicagem,Avicultura,,,,,,,"IMG-0081,IMG-0154",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0104,PE004,PE004,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0105,PE006,PE006,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0106,PE007,PE007,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0107,PE008,PE008,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0108,PE009,PE009,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0109,PE010,PE010,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0110,PE013,PE013,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0111,PE016,PE016,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0112,PE028,PE028,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,06 MM,,06 MM,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0113,PE029,PE029,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,10 MM,,10 MM,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0114,PE030,PE030,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0115,PE031,PE031,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0116,PE037,PE037,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0117,PE039,PE039,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0118,PE041,PE041,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0119,PE045,PE045,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0120,PE047,PE047,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0121,PE048,PE048,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0122,PE062,PE062,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0123,PE063,PE063,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0124,PE064,PE064,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0125,PE065,PE065,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0126,PE066,PE066,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-complementar,MEDIA,SIM
PROD-0127,PE075,PE075,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,IMG-0082,EM_QUARENTENA,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0128,PE076,PE076,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,IMG-0083,EM_QUARENTENA,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0129,PE077,PE077,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,,AUSENTE_USA_PLACEHOLDER,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0130,PE078,PE078,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,IMG-0084,EM_QUARENTENA,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0131,PE079,PE079,,Peças e componentes — não identificados,FAM-032,"Peças, reposição e automação",,Avicultura,,,,,,,IMG-0085,EM_QUARENTENA,UNICO,INCOMPLETO,NAO,sem nome em qualquer fonte,S-03/PDF-publicado|S-03/PDF-complementar,ALTA,SIM
PROD-0049,BB001,BB001,BEBEDOUROS PARA AVES COM GANCHO DE METAL,Bebedouros pendulares para aves,FAM-033,"Manejo, alimentação e biossegurança",hidratação,Avicultura,,,,10 L,,10 L,"IMG-0068,IMG-0138",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0050,BB002,BB002,BEBEDOUROS PARA AVES COM GANCHO DE METAL,Bebedouros pendulares para aves,FAM-033,"Manejo, alimentação e biossegurança",hidratação,Avicultura,,,,6 L,,6 L,IMG-0069,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0051,BB003,BB003,BEBEDOUROS PARA AVES COM GANCHO PLÁSTICO,Bebedouros pendulares para aves,FAM-033,"Manejo, alimentação e biossegurança",hidratação,Avicultura,,,,"1,5 L",,"1,5 L","IMG-0070,IMG-0139",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0052,BB004,BB004,BEBEDOUROS PARA AVES COM GANCHO PLÁSTICO,Bebedouros pendulares para aves,FAM-033,"Manejo, alimentação e biossegurança",hidratação,Avicultura,,,,3 L,,3 L,IMG-0071,EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0097,CO001,CO001,COMEDOURO PARA AVES COM GANCHO PLÁSTICO,Comedouros para aves,FAM-034,"Manejo, alimentação e biossegurança",alimentação,Avicultura,,,,"1,5 KG",,"1,5 KG","IMG-0080,IMG-0151",EM_QUARENTENA,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0098,CO002,CO002,COMEDOURO PARA AVES COM GANCHO PLÁSTICO,Comedouros para aves,FAM-034,"Manejo, alimentação e biossegurança",alimentação,Avicultura,,,,3 KG,,3 KG,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0099,CO003,CO003,COMEDOURO PARA AVES COM GANCHO PLÁSTICO,Comedouros para aves,FAM-034,"Manejo, alimentação e biossegurança",alimentação,Avicultura,,,,6 KG,,6 KG,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0100,CO004,CO004,COMEDOURO PARA AVES COM GANCHO PLÁSTICO,Comedouros para aves,FAM-034,"Manejo, alimentação e biossegurança",alimentação,Avicultura,,,,9 KG,,9 KG,,AUSENTE_USA_PLACEHOLDER,UNICO,COMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0168,VR007,VR007,NIPLE BEBEDOURO MEDIA VAZÃO,Niples para bebedouro,FAM-035,"Manejo, alimentação e biossegurança",hidratação,Avicultura,,,,,,,IMG-0182,EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0027,AR001,AR001,ARMADILHA PARA ROEDORES,Armadilhas para roedores,FAM-036,"Manejo, alimentação e biossegurança",controle de pragas,Avicultura,,,,,,,"IMG-0001,IMG-0058,IMG-0121",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0029,AR003,AR003,ARMADILHA TÚNEL,Armadilhas para roedores,FAM-036,"Manejo, alimentação e biossegurança",controle de pragas,Avicultura,,,,,,,"IMG-0003,IMG-0060,IMG-0123",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0028,AR002,AR002,ADESIVO PARA ROEDORES,Adesivos e colas para captura,FAM-037,"Manejo, alimentação e biossegurança",controle de pragas,Avicultura,,,,,,,"IMG-0002,IMG-0059,IMG-0122",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0030,AR004,AR004,ADESIVO COLA 450x155MM,Adesivos e colas para captura,FAM-037,"Manejo, alimentação e biossegurança",controle de pragas,Avicultura,,,,,,,"IMG-0004,IMG-0061,IMG-0124",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0171,VR010,VR010,CONTADOR MANUAL PARA AVES,Contadores manuais para aves,FAM-038,"Manejo, alimentação e biossegurança",manejo,Avicultura,,,,,,,"IMG-0109,IMG-0185",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0166,VR005,VR005,SORO FISIOLOGICO 500ML,Consumíveis de assepsia e apoio,FAM-039,"Manejo, alimentação e biossegurança",biossegurança,Avicultura,,,,,,,"IMG-0044,IMG-0105,IMG-0180",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0167,VR006,VR006,GAZE 11 FIOS,Consumíveis de assepsia e apoio,FAM-039,"Manejo, alimentação e biossegurança",biossegurança,Avicultura,,,,,,,"IMG-0045,IMG-0106,IMG-0181",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
PROD-0170,VR009,VR009,ÁLCOOL SWAB 70% - 100 UN,Consumíveis de assepsia e apoio,FAM-039,"Manejo, alimentação e biossegurança",biossegurança,Avicultura,,,,,,,"IMG-0047,IMG-0108,IMG-0184",EM_QUARENTENA,UNICO,INCOMPLETO,CANDIDATO,,S-02/CSV|S-03/PDF-publicado,ALTA,SIM
